id,date [yr],area ,magnitude,parents,children,siblings, person,status
8000,[5; 6],[3],0,,,[12156],eng015,1
12156,[5; 9],[3],0,,,[8000; 13320; 22946],eng178,-1
13320,,[23],1,,,[12156],,
22850,[6; 7],[1],0,,[22946],,eng013,1
22946,[6; 8],[3],0,[22850],,[31235; 12156; 26117; 30548],eng015,-1
23024,[6; 7],[1],0,,[23942; 23945; 23992; 27169],[23922],eng204,1
23729,[6; 7],[3],1,[23922],,[23821; 24980; 29731],eng302,1
23821,[6; 7],[1],0,,[23922],[23729; 24781],eng013,-1
23831,[6; 7],[1],0,[23925],[23925],[24781; 25476; 25515],eng008,1
23922,[6; 7],[3],0,[23821],[23729],[23024; 27169],eng041,-1
23925,[6; 7],[14],3,[23831],[23831; 24781; 25476; 25515],,eng041,1
23942,[6; 9],[19],0,[23024],,[23945; 23992; 27169],eng106,-1
23945,[6; 9],[5],1,[23024],,[23942; 23992; 27169],eng106,-1
23992,[6; 9],[5],2,[23024],,[23942; 23945; 27169],eng079,-1
24659,[6; 7],[10],2,,[25053],[24926],eng183,1
24781,[6; 7],[4],2,[23925],,[23831; 25476; 25515; 23821; 25481; 29826],eng183,1
24926,[6; 7],[10],1,[24927],[24927],[25463; 24659; 25053; 25481],eng183,1
24927,[6; 7],[14],1,[24926],[24926; 25463],,eng183,1
24980,[6; 7],[3],2,,,[23729],eng178,1
25053,[6; 7],[10],0,[24659],,[24926],eng073,-1
25463,[6; 7],[10],2,[24927],,[24926],eng122,1
25476,[6; 7],[19],2,[23925],,[23831; 24781; 25515],eng183,1
25481,[6; 7],[10],1,,,[24926; 24781],eng183,1
25515,[6; 7],[20],2,[23925],,[23831; 24781; 25476],eng183,1
26117,[7; 7],[3],0,,,[22946],eng318,-1
26331,,[3],1,,[26333],,,
26333,[7; 7],[3],2,[26331],,[29711; 29226; 27023],eng244,-1
27023,[7; 7],[3],0,,,[26333],eng301,-1
27027,[7; 7],[19],3,,[28695],[28213; 28846],eng248,1
27169,[7; 9],[19],1,[23024],,[23942; 23945; 23992; 23922],eng177,1
27585,[7; 7],[19],4,,,[28007; 30143],eng087,1
27592,[7; 8],[1],0,,,[27952; 31966],eng343,0
27627,[7; 7],[19],3,,[28878],,eng030,1
27656,[7; 7],[19],0,,[28528],[28428],eng087,-1
27952,[7; 8],[1],0,,[31966; 31967],[28601; 30501; 27592],eng087,0
28007,[7; 7],[3],2,,,[27585; 28213],eng301,1
28009,[7; 7],[1],0,,[30148],[28067; 28428; 28531; 28821; 30465; 30548],eng013,1
28067,,[3],1,,,[28009; 28186],,
28122,[7; 7],[19],2,,[28153],[28788; 28790],eng176,1
28153,[7; 7],[3],0,[28122],,[29711; 28213; 28878],eng244,-1
28162,,[35],1,,,[28601],,
28166,,[3],1,,,[28567],,
28186,[7; 7],[19],1,,[28529],[28067],eng176,1
28187,[7; 7],[19],3,,[28213],,eng176,1
28213,[7; 7],[3],2,[28187],,[28007; 28153; 27027],eng301,1
28428,[7; 7],[19],2,,[28531; 28821],[27656; 28009],eng299,1
28528,[7; 7],[3],1,[27656],,,eng168,1
28529,[7; 7],[3],1,[28186],,[29711],eng168,-1
28531,[7; 7],[3],2,[28428],,[28821; 28009; 28878],eng168,1
28567,[7; 7],[1],0,,[29538; 29547],[28166],eng087,1
28601,[7; 8],[1],0,,[31972],[27952; 28162; 31973],eng087,0
28695,[7; 7],[19],0,[27027],,,eng309,1
28696,[7; 7],[1],0,,[29226; 29227; 29744],,eng013,1
28788,,[3],1,,,[28122],,
28790,,[3],1,,,[28122],,
28821,[7; 7],[3],0,[28428],,[28531; 28009; 29711],eng168,-1
28846,[7; 7],[19],2,,[29399],[27027],eng321,1
28878,[7; 7],[3],2,[27627],,[28531; 28153],eng244,1
29226,[7; 7],[3],3,[28696],[29731],[29227; 29744; 26333; 30126; 32289],eng106,1
29227,[7; 7],[6],2,[28696],,[29226; 29744],eng106,1
29353,[7; 8],[19],2,,,[29826],eng264,1
29399,[7; 7],[19],0,[28846],,,eng140,-1
29538,[7; 7],[6],2,[28567],[30344; 30614],[29547],eng106,1
29547,[7; 7],[3],1,[28567],,[29538; 29711],eng106,1
29711,[7; 7],[3],0,,[30548],[26333; 28153; 28529; 28821; 29547; 30148],eng244,1
29731,[7; 7],[3],2,[29226],,[23729],eng376,1
29744,[7; 7],[19],2,[28696],,[29226; 29227],eng299,1
29826,[7; 7],[3],2,,,[24781; 29353],eng275,1
30126,[7; 7],[3],2,,,[29226],eng301,1
30143,[7; 7],[19],3,,,[27585],eng030,1
30148,[7; 7],[3],0,[28009],,[29711],eng106,-1
30344,[7; 7],[19],1,[29538],,[30614],eng176,1
30465,,[11],1,,,[28009],,
30466,,[11],1,,,[30503],,
30501,[7; 8],[1],0,,[30503],[27952],eng013,0
30503,[7; 7],[1],0,[30501],,[30466; 30548],eng013,1
30548,[7; 7],[3],3,[29711],,[28009; 30503; 30771; 22946; 31471],eng296,1
30614,[7; 7],[14],1,[29538],,[30344],eng017,1
30771,[7; 7],[1],0,,,[30548],eng013,1
31235,[7; 7],[3],0,,,[22946],eng019,-1
31471,[7; 7],[3],0,,,[30548],eng140,-1
31966,[7; 7],[19],3,[27952],[32645],[31967; 27592; 31972],eng087,1
31967,[7; 7],[19],3,[27952],,[31966; 31973],eng087,1
31972,[7; 7],[19],0,[28601],,[31966],eng087,-1
31973,[7; 7],[19],0,,,[28601; 31967],eng087,-1
32289,[7; 7],[3],1,,,[29226],eng296,1
32645,[7; 7],[14],1,[31966],,,eng261,1